Date,Description,Amount,Transaction Type,Category,Account Number
07/18/2019,BP,36.42,debit,Gas & Fuel,95028-1307804
07/18/2019,Grocery Store,29.83,debit,Groceries,95028-6611199
07/18/2019,Brunch Restaurant,8.82,debit,Restaurants,95028-6611199
07/18/2019,State Farm,75,debit,Auto Insurance,95028-5949457
07/18/2019,BP,36.42,debit,Gas & Fuel,95028-1307804
07/18/2019,Grocery Store,29.83,debit,Groceries,95028-6611199
07/18/2019,Brunch Restaurant,8.82,debit,Restaurants,95028-6611199
07/19/2019,Biweekly Paycheck,2250,credit,Paycheck,95028-5949457
07/19/2019,Mexican Restaurant,28,debit,Restaurants,95028-6611199
07/19/2019,Biweekly Paycheck,2250,credit,Paycheck,95028-5949457
07/19/2019,Mexican Restaurant,28,debit,Restaurants,95028-6611199
07/22/2019,Credit Card Payment,257.08,credit,Credit Card Payment,95028-1307804
07/22/2019,Thai Restaurant,26.67,debit,Restaurants,95028-1307804
07/22/2019,Credit Card Payment,257.08,credit,Credit Card Payment,95028-1307804
07/22/2019,Thai Restaurant,26.67,debit,Restaurants,95028-1307804
07/23/2019,Credit Card Payment,257.08,debit,Credit Card Payment,95028-5949457
07/24/2019,Starbucks,2.5,debit,Coffee Shops,95028-1307804
07/27/2019,Barbershop,30,debit,Haircut,95028-1307804
07/28/2019,Hardware Store,44.31,debit,Home Improvement,95028-6611199
07/29/2019,Grocery Store,5.35,debit,Groceries,95028-6611199
07/29/2019,Fancy Restaurant,44.92,debit,Restaurants,95028-1307804
07/29/2019,Grocery Store,5.35,debit,Groceries,95028-6611199
07/29/2019,Fancy Restaurant,44.92,debit,Restaurants,95028-1307804
07/30/2019,Grocery Store,15.77,debit,Groceries,95028-6611199
07/30/2019,Internet Service Provider,75,debit,Internet,95028-5949457
07/30/2019,Grocery Store,15.77,debit,Groceries,95028-6611199
07/30/2019,Internet Service Provider,75,debit,Internet,95028-5949457
